946686571364;1;0.68
946686571453;8;0.69
946686571454;8;0.68
946686571455;8;0.69
946686571455;9;0.69
946686571456;9;0.69
946686571457;9;0.69
946686571457;9;0.69
946686571458;9;0.69
946686571459;9;0.69
946686571460;9;0.69
946686571461;9;0.69
946686571462;9;0.69
946686571463;9;0.68
946686571464;10;0.68
946686571464;10;0.68
946686571465;10;0.69
946686571466;10;0.69
946686571466;10;0.69
946686571467;11;0.69
946686571468;11;0.69
946686571468;11;0.69
946686571469;11;0.69
946686571470;11;0.69
946686571471;11;0.69
946686571471;11;0.69
946686571472;11;0.68
946686571473;11;0.69
946686571474;11;0.69
946686571474;11;0.69
946686571475;12;0.69
946686571476;12;0.69
946686571476;12;0.69
946686571477;12;0.69
946686571478;12;0.69
946686571478;12;0.69
946686571479;12;0.69
946686571480;12;0.69
946686571480;12;0.69
946686571481;12;0.68
946686571482;12;0.69
946686571482;12;0.69
946686571483;13;0.69
946686571484;13;0.69
946686571485;13;0.69
946686571485;13;0.69
946686571486;13;0.68
946686571486;13;0.69
946686571487;13;0.69
946686571488;13;0.69
946686571489;13;0.69
946686571489;13;0.69
946686571490;13;0.69
946686571491;13;0.69
946686571492;13;0.69
946686571498;14;0.69
946686571499;14;0.69
946686571499;14;0.69
946686571500;14;0.69
946686571501;14;0.69
946686571501;14;0.69
946686571502;14;0.69
946686571503;14;0.69
946686571504;15;0.69
946686571511;16;0.69
946686571512;16;0.69
946686571513;16;0.69
946686571514;16;0.68
946686571514;16;0.68
946686571515;16;0.69
946686571516;16;0.69
946686571516;16;0.69
946686571517;16;0.69
946686571518;16;0.69
946686571518;16;0.69
946686571519;17;0.69
946686571520;17;0.69
946686571520;17;0.69
946686571521;17;0.69
946686571522;17;0.69
946686571522;17;0.69
946686571523;17;0.69
946686571524;17;0.69
946686571524;17;0.69
946686571525;17;0.69
946686571526;17;0.69
946686571526;17;0.69
946686571527;17;0.69
946686571527;17;0.69
946686571528;17;0.68
946686571529;17;0.69
946686571529;17;0.69
946686571530;17;0.68
946686571530;17;0.69
946686571531;18;0.69
946686571532;18;0.69
946686571532;18;0.69
946686571533;18;0.69
946686571534;18;0.69
946686571534;18;0.69
946686571535;18;0.69
946686571536;18;0.69
946686571536;18;0.69
946686571537;18;0.69
946686571538;18;0.69
946686571539;19;0.69
946686571540;19;0.69
946686571543;19;0.69
946686571544;19;0.68
946686571545;19;0.69
946686571546;19;0.69
